,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
71,71,0,192.168.104.179,28:c6:3f:b7:6a:65,28:c6:3f,59901,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,1900,17,4,0,0,1681038263880,1681038265517,1637,3,633,1681038263880,1681038265517,1637,3,633,0,0,0,0,0,211,211.0,0.0,211,211,211.0,0.0,211,0,0.0,0.0,0,817,818.5,2.1213203435596424,820,817,818.5,2.1213203435596424,820,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSDP,System,0,6,239.255.255.250:1900,,,,
72,72,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,46492,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038272689,1681038288456,15767,28,15675,1681038272689,1681038288456,15767,16,1960,1681038272874,1681038288456,15582,12,13715,66,559.8214285714288,936.4788682265718,2522,66,122.5,107.41322078775966,411,66,1142.9166666666663,1219.7517227499682,2522,0,583.9629629629628,2072.8798340154226,9734,0,1051.1333333333334,2752.1082533387453,9734,0,1416.5454545454545,3215.6394189534485,9898,2,0,0,0,27,13,0,2,1,0,0,0,15,4,0,1,1,0,0,0,12,9,0,1,TLS,Web,1,1,,,,,
73,73,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,54860,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038272690,1681038273108,418,9,1365,1681038272690,1681038273108,418,6,844,1681038272874,1681038273108,234,3,521,54,151.66666666666666,176.38310576696398,530,54,140.66666666666666,190.89124303295492,530,66,173.66666666666666,179.60048255317503,381,0,52.25,70.233793250014,184,0,83.6,73.18674743421789,184,87,117.0,42.42640687119285,147,2,0,0,0,6,2,2,2,1,0,0,0,3,1,2,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
74,74,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,49524,149.154.167.43,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038273130,1681038273458,328,10,1430,1681038273130,1681038273458,328,6,883,1681038273226,1681038273458,232,4,547,66,143.0,165.2956946404433,545,66,147.16666666666669,194.9240022846511,545,66,136.75,136.21888023814222,341,0,36.44444444444444,55.40331919459138,133,0,65.6,61.223361554230266,133,0,77.33333333333334,69.09655080634151,133,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,HTTP,Web,0,6,149.154.167.43,,,Mozilla/5.0,
75,75,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,35920,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038296473,1681038296844,371,10,1515,1681038296473,1681038296841,368,6,892,1681038296631,1681038296844,213,4,623,66,151.5,179.00046554874282,554,66,148.66666666666666,198.59775091039344,554,66,155.75,174.20749122813288,417,0,41.22222222222223,63.26289943121832,158,0,73.6,71.0936002745676,158,3,71.0,60.09991680526688,117,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
76,76,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,35930,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038296503,1681038296869,366,9,1228,1681038296503,1681038296869,366,6,695,1681038296634,1681038296869,235,3,533,54,136.44444444444446,142.2621797168094,393,54,115.83333333333331,130.13595455010375,381,66,177.66666666666666,186.5270311063073,393,0,45.75,62.50199996800102,131,0,73.2,65.7624512925119,131,117,117.5,0.7071067811865476,118,2,0,0,0,6,2,2,2,1,0,0,0,3,1,2,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.222,,,Mozilla/5.0,
77,77,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,56782,149.154.167.222,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038297150,1681038314059,16909,38,22209,1681038297150,1681038314059,16909,18,2309,1681038297241,1681038314059,16818,20,19900,66,584.4473684210527,805.1998139581833,2522,66,128.27777777777774,104.41084322524424,347,66,995.0,937.1513386742546,2522,0,457.0,1796.675432879047,9894,0,994.6470588235294,2599.213004477905,9894,0,885.1578947368423,2526.3423992263315,9991,2,0,0,0,37,18,0,2,1,0,0,0,17,5,0,1,1,0,0,0,20,13,0,1,TLS,Web,1,1,,,,,
78,78,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,37450,149.154.167.51,b2:61:29:ed:05:ca,b2:61:29,443,6,4,0,0,1681038609243,1681038686303,77060,276,127100,1681038609243,1681038686303,77060,135,18392,1681038611086,1681038686303,75217,141,108708,66,460.5072463768116,568.5209550323852,2522,66,136.23703703703708,122.02062508600427,491,66,770.9787234042556,649.7391506056774,2522,0,280.2181818181819,1178.0109099867354,10425,0,575.0746268656715,1663.9453551018128,10425,0,537.264285714286,1674.7696571381712,10873,4,0,0,0,274,123,0,2,2,0,0,0,133,38,0,1,2,0,0,0,141,85,0,1,TLS,Web,1,1,,,,,
79,79,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,47608,149.154.167.41,b2:61:29:ed:05:ca,b2:61:29,80,6,4,0,0,1681038609243,1681038612815,3572,9,1388,1681038609243,1681038612815,3572,6,895,1681038610068,1681038612815,2747,3,493,66,154.22222222222223,178.02020796652397,557,66,149.16666666666669,199.8223377569852,557,66,164.33333333333334,163.4390814136366,353,0,446.5,481.10408734196267,1032,1,714.4,407.21284360884295,1032,841,1373.5,753.0687219636732,1906,2,0,0,0,8,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,3,1,0,1,HTTP,Web,0,6,149.154.167.41,,,Mozilla/5.0,
80,80,0,192.168.104.233,30:c9:ab:c2:08:7b,30:c9:ab,39552,185.125.190.58,b2:61:29:ed:05:ca,b2:61:29,123,17,4,0,0,1681038611817,1681038612521,704,2,180,1681038611817,1681038611817,0,1,90,1681038612521,1681038612521,0,1,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,90,704,704.0,0.0,704,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NTP,System,0,6,,,,,
